i0.MultiQueueMigrator.migrationCount 262
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.measuredPauses 1525
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.reads 1458
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.writes 1525
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.activates 1887
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.precharges 1887
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.refreshes 2316
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.actWaits 8857
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.actWaitTotal 143033
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.actWaitAverage 16.1491
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.measuredWriteTimes 1525
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.cancelCountHisto {0: 1524}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.bankEnergy 3.35248e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.activeEnergy 205211mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.burstEnergy 182792mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.refreshEnergy 2.96448e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.bankPower 0.00138959W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.activePower 8.50592e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.burstPower 7.57668e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.refreshPower 0.00122877W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.bandwidth 476.566MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.dataCycles 11932
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.powerCycles 640959
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.utilization 0.0186159
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.reads 1458
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.writes 1525
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.activates 1887
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.precharges 1887
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.refreshes 2316
