i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.measuredPauses 94442
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.reads 287026
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.writes 94442
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.activates 163596
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.precharges 163596
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.refreshes 213393
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.actWaits 812180
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.actWaitTotal 14290897
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.actWaitAverage 17.5957
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.measuredWriteTimes 94442
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.cancelCountHisto {0: 94441}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.wpPauseHisto {}
